Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,time,group,SRA Study,treatment,strain,tissue
SRR6436158,RNA-Seq,202,10602421874,PRJNA428303,SAMN08287087,5884202900,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527628,GSM2911206,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911206,ZT0,control,SRP127946,"12 wk control Diet (Research Diet\, D12329)",C57BL/6J,liver
SRR6436159,RNA-Seq,202,11418372998,PRJNA428303,SAMN08287086,6331960153,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527629,GSM2911207,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911207,ZT0,control,SRP127946,"12 wk control Diet (Research Diet\, D12329)",C57BL/6J,liver
SRR6436160,RNA-Seq,202,8825766224,PRJNA428303,SAMN08287085,2939766803,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527630,GSM2911208,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911208,ZT0,control,SRP127946,"12 wk control Diet (Research Diet\, D12329)",C57BL/6J,liver
SRR6436162,RNA-Seq,202,10942190318,PRJNA428303,SAMN08287083,6942274656,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527632,GSM2911210,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911210,ZT4,control,SRP127946,"12 wk control Diet (Research Diet\, D12329)",C57BL/6J,liver
SRR6436163,RNA-Seq,202,8257479018,PRJNA428303,SAMN08287082,2748561375,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527633,GSM2911211,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911211,ZT4,control,SRP127946,"12 wk control Diet (Research Diet\, D12329)",C57BL/6J,liver
SRR6436164,RNA-Seq,202,12388798572,PRJNA428303,SAMN08287081,6862354597,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527634,GSM2911212,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911212,ZT8,control,SRP127946,"12 wk control Diet (Research Diet\, D12329)",C57BL/6J,liver
SRR6436165,RNA-Seq,202,10551943286,PRJNA428303,SAMN08287080,5878140587,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527635,GSM2911213,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911213,ZT8,control,SRP127946,"12 wk control Diet (Research Diet\, D12329)",C57BL/6J,liver
SRR6436166,RNA-Seq,202,6936069152,PRJNA428303,SAMN08287079,2302178317,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527636,GSM2911214,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911214,ZT8,control,SRP127946,"12 wk control Diet (Research Diet\, D12329)",C57BL/6J,liver
SRR6436167,RNA-Seq,202,11032866300,PRJNA428303,SAMN08287078,6153966536,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527637,GSM2911215,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911215,ZT12,control,SRP127946,"12 wk control Diet (Research Diet\, D12329)",C57BL/6J,liver
SRR6436168,RNA-Seq,202,12530327650,PRJNA428303,SAMN08287102,7935107331,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3527638,GSM2911216,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-10-22T00:00:00Z,GSM2911216,ZT12,control,SRP127946,"12 wk control Diet (Research Diet\, D12329)",C57BL/6J,liver
